wavelength_nm,intensity_au
3.812876429435076489e+02,4.407006932158941711e-04
3.813978001808357021e+02,1.543496740694605797e-03
3.815079645601983884e+02,-2.861421562587112915e-04
3.816181360787699646e+02,6.474749521178791280e-05
3.817283147337246874e+02,1.668814473362641420e-03
3.818385005222369273e+02,1.650016813462162511e-04
3.819486934414808843e+02,-1.764891401741529352e-03
3.820588934886308152e+02,8.981104174539499398e-05
3.821691006608609769e+02,-5.869047146619963198e-04
3.822793149553457397e+02,-3.550669092264043225e-05
3.823895363692593037e+02,4.407006932158941711e-04
3.824997648997759256e+02,6.474749521178791280e-05
3.826100005440699761e+02,1.650016813462162511e-04
3.827202432993155981e+02,-5.367776215947821575e-04
3.828304931626871621e+02,-1.639573669073493946e-03
3.829407501313588682e+02,5.409548793503225501e-04
3.830510142025050300e+02,-6.119682611956034010e-04
3.831612853732999611e+02,3.968394867818082484e-05
3.832715636409178614e+02,-5.367776215947821575e-04
3.833818490025330448e+02,2.069831217900354719e-03
3.834921414553197678e+02,-9.879214591997096187e-04
3.836024409964523443e+02,1.969577031765926394e-03
3.837127476231049741e+02,1.900652278798233322e-04
3.838230613324519709e+02,6.412090654847508748e-04
3.839333821216675915e+02,-1.357608770570687773e-04
3.840437099879261496e+02,8.166538912200004430e-04
3.841540449284019019e+02,6.474749521178791280e-05
3.842643869402691053e+02,1.317924821892142067e-03
3.843747360207020165e+02,2.903194140142516841e-04
3.844850921668749493e+02,2.401923209470374946e-04
3.845954553759621604e+02,-1.514255936405458323e-03
3.847058256451379066e+02,-8.375401799980671316e-04
3.848162029715764447e+02,1.969577031765926394e-03
3.849265873524521453e+02,1.994640578299533475e-03
3.850369787849391514e+02,-9.879214591997096187e-04
3.851473772662118336e+02,7.414632516191791995e-04
3.852577827934444485e+02,-2.109515166578900208e-04
3.853681953638111963e+02,6.474749521178791280e-05
3.854786149744864474e+02,-3.112057027923183727e-04
3.855890416226444586e+02,9.670351704216429301e-04
3.856994753054594298e+02,-3.362692493259254538e-04
3.858099160201056748e+02,-4.615869819939608597e-04
3.859203637637575071e+02,2.151287744134304134e-04
3.860308185335891267e+02,2.270339590169211368e-03
3.861412803267748473e+02,4.657642397495012523e-04
3.862517491404889824e+02,-1.138302738401352106e-03
3.863622249719057322e+02,-7.372859938636388069e-04
3.864727078181994102e+02,4.657642397495012523e-04
3.865831976765442732e+02,-1.514255936405458323e-03
3.866936945441145781e+02,1.317924821892142067e-03
3.868041984180846384e+02,-1.338811110670208755e-03
3.869147092956287111e+02,3.655100536150729276e-04
3.870252271739210528e+02,-1.288684017602994593e-03
3.871357520501359772e+02,-4.615869819939608597e-04
3.872462839214476844e+02,1.693878019896248501e-03
3.873568227850305448e+02,1.568560287228212878e-03
3.874673686380587583e+02,-7.623495403972458881e-04
3.875779214777066386e+02,-1.338811110670208755e-03
3.876884813011484425e+02,-2.360150631914971020e-04
3.877990481055584269e+02,-9.628579126661025375e-04
3.879096218881108484e+02,-1.439065296804637080e-03
3.880202026459800777e+02,-1.357608770570687773e-04
3.881307903763402578e+02,-2.366416518548099084e-03
3.882413850763657592e+02,-1.714764308674315190e-03
3.883519867432307819e+02,-1.038048552266923781e-03
3.884625953741096964e+02,-5.367776215947821575e-04
3.885732109661766458e+02,-3.362692493259254538e-04
3.886838335166060006e+02,1.242734182291320823e-03
3.887944630225720175e+02,3.968394867818082484e-05
3.889050994812489535e+02,2.401923209470374946e-04
3.890157428898111220e+02,8.667809842872146054e-04
3.891263932454327232e+02,-9.628579126661025375e-04
3.892370505452880707e+02,6.474749521178791280e-05
3.893477147865514780e+02,9.169080773544287678e-04
3.894583859663971452e+02,-1.038048552266923781e-03
3.895690640819993291e+02,1.462040214457373858e-05
3.896797491305324002e+02,-1.965399774010385785e-03
